scan_ts,discovered,enriched,n_survivors,n_a
1786920690.1051013,58,56,4,1
1786921628.535563,60,53,4,1
1786923107.6855514,59,49,5,1
1786924214.7252123,59,49,4,1
1786926259.7822978,59,49,4,1
1786932364.4170604,59,50,4,1
1786936179.3788462,58,48,5,1
1786939599.528204,60,55,3,1
1786942474.1148973,60,50,4,1
1786945418.942108,58,55,5,1
1786947751.6284173,57,47,6,0
1786952126.2200124,52,49,6,1
1786954879.7503004,52,47,6,1
1786957483.7440782,54,47,4,1
1786960408.3296745,58,53,2,1
1786963313.9821436,58,49,4,0
1786965047.640721,60,56,5,0
1786967078.8713293,60,50,3,0
1786968163.1183226,60,54,6,0
1786971647.2412393,59,52,7,0
1786974473.2354105,56,46,5,0
1786975999.7837374,58,48,4,0
1786978105.5145433,59,51,5,0
1786979470.1626854,60,57,5,0
1786981454.100871,60,50,3,0
1786982582.3916254,60,50,2,0
1786984732.5954816,60,51,3,0
1786986720.5391455,60,51,2,0
1786988933.1788945,60,51,7,0
1786990576.0305073,60,50,5,0
1786993312.273318,60,52,5,0
1786995329.6944911,60,50,5,0
1786996546.6979234,60,50,3,0
1786999012.7282166,60,50,4,0
1787000386.93854,60,52,5,0
1787002484.6186836,60,51,3,0
1787003721.991574,60,52,3,0
1787006071.3854313,60,53,1,0
1787007326.6530309,60,54,1,0
1787009487.8071957,59,49,3,0
1787010700.407153,59,49,3,0
1787012802.8025444,60,54,4,0
1787018564.7604902,60,53,5,0
1787022249.7582614,60,52,4,0
1787025207.0565772,60,56,6,0
1787028310.6716852,60,54,4,0
1787030120.4002817,60,51,7,0
1787032153.894153,60,54,7,0
1787033857.761332,60,51,6,0
1787036954.1218987,60,50,6,0
1787039835.4110024,60,50,7,0
1787042931.7270403,60,50,5,0
1787044623.6405072,59,49,5,0
1787046738.7089567,58,54,5,0
1787049550.005668,60,50,6,1
1787051431.2738588,60,50,6,1
1787053498.3277526,60,52,8,0
1787055278.0126638,60,51,5,0
1787058756.9014425,60,51,7,0
1787061604.6981177,60,52,8,0
1787064267.9491794,60,51,9,0
1787066131.3912983,60,52,10,0
1787068222.180281,60,50,8,0
1787069659.9766011,59,49,9,0
1787071944.9010315,60,51,8,0
1787074593.6022575,60,50,9,0
1787075939.2760746,60,52,9,0
1787079071.584246,60,50,6,0
1787080686.6818438,59,49,7,0
1787082273.9605763,60,55,6,0
1787083288.3335905,60,51,8,0
1787085239.9383929,60,50,8,0
1787086515.7448025,60,51,6,0
1787088770.800883,60,51,5,0
1787089940.5022898,60,50,7,0
1787092495.1175728,59,49,6,0
1787093763.4512584,60,50,6,0
1787095835.9953809,60,50,7,0
1787097113.1985083,60,50,7,0
1787099324.2356894,60,50,6,0
1787105089.5867617,60,55,8,0
1787108855.4961677,60,51,9,0
1787112196.3907773,60,53,8,0
1787114828.418448,60,51,8,0
1787116553.1047928,60,51,9,0
1787118618.5289419,60,50,9,0
1787120347.718101,60,57,8,0
1787123435.5025785,60,52,8,0
1787126190.8996265,59,49,6,1
1787129373.4203694,60,51,4,0
1787131126.2713535,57,47,4,0
1787133196.7340665,55,50,6,0
1787135920.3884556,56,46,8,0
1787137809.2426405,59,49,5,0
1787139852.5330467,60,50,6,0
1787141654.6868396,60,59,7,0
1787145225.2778137,54,44,6,0
1787148031.6076052,58,50,8,1
1787150719.7922673,59,49,9,0
1787152496.2818508,55,54,8,1
